input,pnbi,pnbi_std,ni0,ni0_std,te0,te0_std,tite,tite_std,taue,taue_std,betan,betan_std,pohm,pohm_std,q0,q0_std,ti0,ti0_std,tripleprod,tripleprod_std
1.0,6589902.571418718,89571.33228242354,3.581440105254594e+19,9.643438361806473e+17,3627.417567136722,68.94953373583166,1.0466377826447262,0.011087422510615287,0.13429713202428262,0.0018988936782157301,0.01146741193046944,0.00013847178343833556,85318.23781739613,101023.99376758546,3.9266349011214046,1.6466918223785936,3796.592279194506,82.61573070204129,1.8260740758905379e+22,5.880872193017335e+20
1.25,6587536.99102561,88584.89248193089,3.630539159421606e+19,9.633219396631923e+17,4062.3546563553537,73.01969525133192,1.0819665483755718,0.00721161909254209,0.16256072276316355,0.00222233369947717,0.011022242950084069,0.0001321853188060381,135048.7865434354,135113.20127863958,6.531494901539524,2.8010020676202707,4395.331845814234,84.26169813505399,2.594050441444855e+22,7.933562971914012e+20
1.5,6578277.223210234,91764.6841467833,3.752667870610726e+19,9.715549634122254e+17,4360.712697674841,64.36244827085346,1.1135201193335595,0.008232434158828907,0.1934130557741441,0.003039616636200014,0.010688815782994729,0.00011655923203449656,177056.22049380108,179549.02301570695,8.295651289815407,1.4731897287552849,4855.741323494258,80.15726312570797,3.5243696952605665e+22,1.0987436803939972e+21
1.75,6575683.736594663,92502.4458096126,3.815143809347648e+19,9.845801185334207e+17,4662.860863217491,72.7951921021541,1.1304973699313046,0.00973477259043568,0.221672880213564,0.004154654227965292,0.010374207372364741,0.00011768623068289169,239012.7404111578,226577.03614378598,7.723838665174283,0.29367488245351864,5271.351942222986,93.98326120955207,4.45805569708239e+22,1.4728004829397417e+21
2.0,6571177.1857839795,95091.25086493297,3.922814750715363e+19,9.947285062721962e+17,4848.214741488003,92.01649698065924,1.1495225643563949,0.012168711387318674,0.2508261972134829,0.005307023920406019,0.0101253419543471,0.000117933256771974,294134.2775666343,278723.66042435024,6.656224132154609,0.23106923818423225,5573.132242185765,121.11543695447861,5.483653967180063e+22,1.9017553577922278e+21
2.25,6568434.406047577,96537.23758946678,4.009212149906677e+19,1.0243926050003886e+18,5047.616632586106,105.0583248721659,1.1677136119387952,0.015151180707058827,0.2786665498348942,0.006572876638998211,0.009910046568038552,0.00012367334636470808,352981.18286094366,334201.94212210184,5.82166785434047,0.2032861818858685,5894.17064971946,144.56377778059647,6.585163828134687e+22,2.444103873643783e+21
2.5,6565272.545531545,97399.25800420131,4.091431539192185e+19,1.0376200754969869e+18,5219.819490111856,111.98174602766645,1.1857521718755608,0.018767611439707912,0.30611101207718516,0.008039783447347643,0.009720590459015365,0.00013000994632277738,406151.70809310756,392222.76092599524,5.165103816222178,0.18193860737489406,6189.412297198515,165.0093161896452,7.751819565266485e+22,3.084693947697494e+21
2.75,6565778.928869013,97343.25327831105,4.0718788427118215e+19,1.0495884181514267e+18,5604.412530511352,109.02757439457534,1.2041128540353259,0.022380732235538978,0.3279725469398955,0.009117387918547338,0.009539295533439674,0.000134404063034796,471376.01646936865,446192.0311719502,4.673843116454946,0.1651023129731311,6748.345167305367,181.57018729851208,9.01217523512983e+22,3.8051230440902377e+21
3.0,6560633.320937962,99724.83978790199,4.2183340987712184e+19,1.100772493792602e+18,5616.864296095866,115.60890605069694,1.2248202922757685,0.027307351475135355,0.3590585458406625,0.011292218887389198,0.009394713183324535,0.0001440026748569871,483489.66490406013,507510.69406138064,4.183212928735627,0.1507376891416849,6879.649368817467,208.74994621257113,1.042011580661425e+23,4.85076874934896e+21
3.25,6563906.529220267,97699.68152637484,4.128217137548585e+19,1.0914018933135258e+18,6073.6265288643435,104.62261638410568,1.2410436646926286,0.03118411682854474,0.37665153990873385,0.012616154626116566,0.009231499873424646,0.00014750632897885478,546547.1664286364,567067.8661108364,3.86936448824509,0.13924931954475256,7537.635725356175,229.63310665164542,1.1720264829104325e+23,5.803936914944678e+21
